Age,EdLevel,Employment,Gender,YearsOfExperience,Status
44,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,24,
33,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,
41,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,15,
28,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,4,
29,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,5,
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,
41,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,3,
55,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,20,
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,Less than 1 year,
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,1,
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,1,
21,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,Less than 1 year,
38,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,15,
47,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,20,
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,
33,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,20,
30,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,1,
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,6,
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,2,
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,4,
38,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,19,
21,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,
25,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,3,
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,
22,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,
22,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,NA,
35,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,
33,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,5,
50,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,26,
30,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,4,
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",Man,NA,
22,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,1,
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,10,
27,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,5,
34,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,NA,
59,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Man,34,
34,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,10,
58,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,35,
32,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Woman,10,
19,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,
33,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,
28,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Student,Man,NA,
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,7,
39,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,26,
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,9,
40,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",Man,NA,
31,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,6,
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,1,
32,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,6,
33,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,
38,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,5,
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,8,
36,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,9,
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,1,
20,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,6,
32,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,7,
36,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,15,
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,8,
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,2,
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,
30,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,7,
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,
41,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,20,
22,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",Man,NA,
30,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,5,
33,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,2,
38,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,10,
30,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",Man,10,
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,4,
29,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)","Not employed, but looking for work",Man,NA,
47,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,15,
38,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,17,
35,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,8,
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,2,
26,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,4,
27,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,5,
44,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",Man,19,
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,1,
45,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,25,
33,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,6,
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,3,
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,Less than 1 year,
38,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,14,
37,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,19,
21,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,1,
40,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,14,
32,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Woman,2,
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,
23,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,1,
24,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Student,Man,NA,
29,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,3,
22,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Woman,NA,
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,
37,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,9,
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,
29,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,10,
29,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,3,
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,
32,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,12,
22,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,
40,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,12,
28,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Woman,8,
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,
35,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,12,
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,9,
33,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,NA,
42,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,20,
37,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,8,
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,9,
31,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,NA,
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,7,
32,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,5,
34,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,8,
26,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Man,2,
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,6,
42,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,22,
31,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,
26,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,5,
26,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,3,
27,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,5,
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,
34,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,11,
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,7,
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,6,
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,
25,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,5,
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,6,
32,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,5,
42,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,15,
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,Less than 1 year,
22,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",Man,NA,
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",Man,NA,
27,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,2,
29,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,2,
30,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,1,
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,8,
23,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Woman,2,
33,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,
43,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,20,
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,Less than 1 year,
34,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,11,
21,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,
22,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Student,Man,NA,
36,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",Man,NA,
37,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,13,
22,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,NA,
24,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,3,
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,
31,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,8,
36,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,
21,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,6,
37,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,1,
40,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,19,
44,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,22,
22,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Student,Man,NA,
25,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,3,
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,7,
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,
21,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,2,
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,
34,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,12,
30,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,NA,
26,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,4,
37,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,17,
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,1,
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,
37,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,12,
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,
61,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,39,
45,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,
32,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,8,
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,
32,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,9,
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,3,
26,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",Man,3,
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,
30,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Student,Man,NA,
38,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,2,
26,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,6,
41,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",Man,15,
25,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,3,
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,6,
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,
31,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,12,
43,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Man,20,
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,7,
25,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",Man,8,
24,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Student,Man,NA,
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,
35,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,
21,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,
38,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Woman,19,
28,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,10,
35,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,
63,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Retired,Woman,NA,
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,
25,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,NA,
40,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,15,
57,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,33,
39,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,
30,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,7,
28,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,3,
44,"Other doctoral degree (Ph.D., Ed.D., etc.)","Independent contractor, freelancer, or self-employed",Man,12,
21,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Student,Man,NA,
36,"Other doctoral degree (Ph.D., Ed.D., etc.)",Employed full-time,Man,13,
28,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,4,
22,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,Less than 1 year,
64,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",Man,NA,
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",Man,NA,
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,
40,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,16,
42,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,21,
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,
21,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,
26,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,5,
28,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Woman,6,
24,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,4,
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,9,
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,
27,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)","Not employed, but looking for work",Man,NA,
31,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,3,
37,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,9,
35,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,12,
51,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,25,
30,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,7,
30,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,3,
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,
43,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,23,
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,
44,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,7,
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,1,
28,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,6,
28,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Woman,3,
33,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,NA,
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,3,
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Woman,3,
24,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Student,Man,NA,
37,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,
32,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,10,
36,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Woman,13,
32,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",Man,10,
32,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,8,
41,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,
41,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,15,
31,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,7,
34,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,7,
28,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,4,
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,NA,
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,
33,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,
29,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,11,
29,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,5,
25,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Woman,3,
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,
42,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,22,
38,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",Man,14,
31,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,5,
46,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,24,
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,6,
22,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,1,
34,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,10,
27,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,4,
31,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,5,
30,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",Man,7,
29,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,10,
38,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",Man,15,
23,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,2,
34,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",Man,13,
31,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,13,
27,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,3,
31,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,Less than 1 year,
31,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,5,
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Student,Man,NA,
28,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,7,
24,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,
49,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,13,
38,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,8,
26,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Man,3,
24,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,4,
25,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,3,
36,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",Man,12,
21,"Bachelor's degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Man,2,
30,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Man,4,
